population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,metric_id,metric_name,year,val,upper,lower
1,All Population,28,HALE (Healthy life expectancy),69,Singapore,1,Male,9,20-24 years,5,Years,2007,51.05483221575323,53.0550015484969,48.70329004814548
1,All Population,28,HALE (Healthy life expectancy),69,Singapore,2,Female,9,20-24 years,5,Years,2007,54.07423209147246,56.46114458022358,51.02841615827268
1,All Population,28,HALE (Healthy life expectancy),69,Singapore,1,Male,9,20-24 years,5,Years,2008,51.42724209192731,53.41324635554284,49.00938381930242
1,All Population,28,HALE (Healthy life expectancy),69,Singapore,2,Female,9,20-24 years,5,Years,2008,54.39367436606469,56.82102603342646,51.45504197356697
1,All Population,28,HALE (Healthy life expectancy),69,Singapore,1,Male,9,20-24 years,5,Years,2009,51.841990010720416,53.89622909801998,49.511166400883866
1,All Population,28,HALE (Healthy life expectancy),69,Singapore,2,Female,9,20-24 years,5,Years,2009,54.78596360412019,57.26730433226904,51.77759693245762
1,All Population,28,HALE (Healthy life expectancy),69,Singapore,1,Male,9,20-24 years,5,Years,2010,52.12878245801707,54.161118585864806,49.70892097252046
1,All Population,28,HALE (Healthy life expectancy),69,Singapore,2,Female,9,20-24 years,5,Years,2010,55.06709005362968,57.60816578067076,52.08447710351411
1,All Population,28,HALE (Healthy life expectancy),69,Singapore,1,Male,9,20-24 years,5,Years,2011,52.39506073270487,54.43439097736263,50.00046819467252
1,All Population,28,HALE (Healthy life expectancy),69,Singapore,2,Female,9,20-24 years,5,Years,2011,55.247383743339896,57.74714629459693,52.20343765183431
1,All Population,28,HALE (Healthy life expectancy),69,Singapore,1,Male,9,20-24 years,5,Years,2012,52.63698082490815,54.71692723475378,50.18805708089655
1,All Population,28,HALE (Healthy life expectancy),69,Singapore,2,Female,9,20-24 years,5,Years,2012,55.35673373967219,57.859018115050205,52.41976412938283
1,All Population,28,HALE (Healthy life expectancy),69,Singapore,1,Male,9,20-24 years,5,Years,2013,52.92899623534837,55.03672039079589,50.39202265088687
1,All Population,28,HALE (Healthy life expectancy),69,Singapore,2,Female,9,20-24 years,5,Years,2013,55.52542460294076,58.07332167318576,52.497274564457605
1,All Population,28,HALE (Healthy life expectancy),69,Singapore,1,Male,9,20-24 years,5,Years,2014,53.1779047710907,55.18451736864752,50.74404129095976
1,All Population,28,HALE (Healthy life expectancy),69,Singapore,2,Female,9,20-24 years,5,Years,2014,55.66284649132703,58.12935248707496,52.60176058914823
1,All Population,28,HALE (Healthy life expectancy),69,Singapore,1,Male,9,20-24 years,5,Years,2015,53.43572400186893,55.46507024591096,51.03336530620872
1,All Population,28,HALE (Healthy life expectancy),69,Singapore,2,Female,9,20-24 years,5,Years,2015,55.921012825707024,58.40514333478824,52.85445891813907
1,All Population,28,HALE (Healthy life expectancy),69,Singapore,1,Male,9,20-24 years,5,Years,2016,53.65003667324001,55.73196075419127,51.21057739684809
1,All Population,28,HALE (Healthy life expectancy),69,Singapore,2,Female,9,20-24 years,5,Years,2016,56.14135183301384,58.74399175754719,52.93249127108567
1,All Population,28,HALE (Healthy life expectancy),69,Singapore,1,Male,9,20-24 years,5,Years,2017,53.82533384323252,56.006080114577344,51.43137747404937
1,All Population,28,HALE (Healthy life expectancy),69,Singapore,2,Female,9,20-24 years,5,Years,2017,56.26448562676039,58.86009902753237,53.06610707499916
1,All Population,28,HALE (Healthy life expectancy),69,Singapore,1,Male,9,20-24 years,5,Years,2018,54.016778753718455,56.19654915701145,51.51612307295911
1,All Population,28,HALE (Healthy life expectancy),69,Singapore,2,Female,9,20-24 years,5,Years,2018,56.485779523275866,59.12002318129668,53.28388117634949
1,All Population,28,HALE (Healthy life expectancy),69,Singapore,1,Male,9,20-24 years,5,Years,2019,54.15473715213004,56.348719487200384,51.62698891979638
